audio_path,n_experiments_fn,pct_experiments,experiments
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-10_audio.wav,13,0.8666666666666667,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,11,0.7333333333333333,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-U6O5F2B7T5/ses-01/beh/sub-U6O5F2B7T5_ses-01_task-motorplay_run-05_audio.wav,11,0.7333333333333333,"fused_attn, fused_attn_lw, wavlm_attn, wavlm_attn_lw, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-23_audio.wav,10,0.6666666666666666,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-dailyroutine_run-25_audio.wav,10,0.6666666666666666,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-toyplay_run-12_audio.wav,10,0.6666666666666666,"fused_attn_lw, wavlm_attn, wavlm_attn_lw, wavlm_mean, whisper_attn, whisper_attn_aug, whisper_attn_lw, whisper_attn_ptt, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N3L7A1I2B9/ses-01/beh/sub-N3L7A1I2B9_ses-01_task-other_run-02_audio.wav,10,0.6666666666666666,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-T2H0J0N2Z5/ses-01/beh/sub-T2H0J0N2Z5_ses-01_task-toyplay_run-01_audio.wav,10,0.6666666666666666,"fused_attn_lw, wavlm_attn_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-01/beh/sub-C0O6X3N5Y7_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,9,0.6,"fused_attn_unfreeze2, wavlm_attn, wavlm_mean, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3D3S2N7W8/ses-01/beh/sub-G3D3S2N7W8_ses-01_task-motorplay_run-02_audio.wav,9,0.6,"fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-01/beh/sub-F3N4H0K1Z1_ses-01_task-dailyroutine_run-04_audio.wav,9,0.6,"fused_attn, fused_attn_lw, wavlm_attn, wavlm_attn_lw, wavlm_mean, whisper_attn, whisper_attn_aug, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-other_run-03_audio.wav,8,0.5333333333333333,"fused_attn, fused_attn_lw, whisper_attn, whisper_attn_aug, whisper_attn_lw, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D4Y7P4G2V4/ses-01/beh/sub-D4Y7P4G2V4_ses-01_task-motorplay_run-01_audio.wav,8,0.5333333333333333,"fused_attn_lw, wavlm_attn_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean"
