audio_path,child_id,timepoint_norm,label,prob,pred_label,outcome,#_adults,#_children,has_interaction,task_type
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,A1H3H9Y3T1,14_month,0,0.3949632541796648,1,FP,0.0,1.0,True,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2P7X9N8L7/ses-01/beh/sub-A2P7X9N8L7_ses-01_task-motorplay_run-07_audio.wav,A2P7X9N8L7,14_month,0,0.5119473835551653,1,FP,1.0,1.0,True,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A3G3T7I1A5/ses-02/beh/sub-A3G3T7I1A5_ses-02_task-toyplay_run-02_audio.wav,A3G3T7I1A5,36_month,1,0.0494324968386578,0,FN,1.0,1.0,True,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6S0V1J3G6/ses-01/beh/sub-A6S0V1J3G6_ses-01_task-other_run-04_audio.wav,A6S0V1J3G6,14_month,0,0.2048280296682148,1,FP,0.0,1.0,False,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-toyplay_run-01_audio.wav,A6Y4Y7X2G1,14_month,0,0.5041851013296976,1,FP,0.0,1.0,True,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-other_run-02_audio.wav,A6Y4Y7X2G1,14_month,0,0.3939870084322885,1,FP,1.0,1.0,False,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,A6Y4Y7X2G1,14_month,0,0.2670539974867068,1,FP,0.0,1.0,True,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-toyplay_run-06_audio.wav,A6Y4Y7X2G1,14_month,1,0.0,0,FN,1.0,1.0,True,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A8P5O6Z7X6/ses-01/beh/sub-A8P5O6Z7X6_ses-01_task-motorplay_run-01_audio.wav,A8P5O6Z7X6,14_month,0,0.2001308061959376,1,FP,1.0,2.0,True,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-other_run-02_audio.wav,B1S3L8Q7Y6,14_month,0,0.3610070059492767,1,FP,0.0,1.0,False,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-other_run-03_audio.wav,B1S3L8Q7Y6,14_month,0,0.2331155825754098,1,FP,0.0,1.0,False,other
